victim,gender,race,date,city,state,county,death,charges,mental_illness,weapon,weapon_type,threat,fleeing
37,Male,Black,11/6/2019,Tahlequah,OK,Cherokee,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
34,Male,Hispanic,11/6/2019,San Antonio,TX,Bexar,Gunshot,No known charges,No,Allegedly Armed,gun,other,
20,Male,White,11/6/2019,Henryetta,OK,Okmulgee,Gunshot,No known charges,No,Unclear,undetermined,undetermined,
32,Male,Asian,11/5/2019,Sparta,WI,Monroe,Gunshot,No known charges,No,Allegedly Armed,gun,other,Not fleeing
48,Male,Black,11/5/2019,Cleveland,OH,Cuyahoga,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
45,Male,White,11/5/2019,Willis,TX,Montgomery,Gunshot,No known charges,No,Allegedly Armed,knife,other,Car
58,Male,White,11/5/2019,La Monte,MO,Pettis,Gunshot,No known charges,Drug or alcohol use,Allegedly Armed,gun,attack,Not fleeing
21,Male,Hispanic,11/4/2019,Las Cruces,NM,Dona Ana,Gunshot,No known charges,No,Allegedly Armed,gun,attack,
Unknown,Male,Hispanic,11/4/2019,Sunland Park,NM,Dona Ana,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Foot
30,Male,White,11/4/2019,Two Rivers,WI,Manitowoc,Gunshot,No known charges,No,Allegedly Armed,gun,other,Not fleeing
31,Male,White,11/4/2019,Glendale,AZ,Maricopa,Gunshot,No known charges,Yes,Allegedly Armed,sharp object,attack,Not fleeing
32,Male,Black,11/3/2019,Phoenix,AZ,Maricopa,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
56,Male,White,11/3/2019,Parkland,WA,Pierce,Gunshot,No known charges,Yes,Allegedly Armed,knife,other,Not fleeing
42,Male,White,11/2/2019,Alma,KY,Calloway,Gunshot,No known charges,No,Unclear,undetermined,attack,
22,Male,Hispanic,11/1/2019,Alamogordo,NM,Otero,Gunshot,No known charges,No,Allegedly Armed,sharp object,attack,Car
38,Male,Hispanic,11/1/2019,Odessa,TX,Ector,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Car
38,Male,Hispanic,11/1/2019,Boulder,CO,Boulder,Gunshot,No known charges,No,Allegedly Armed,box cutter,attack,Not fleeing
41,Male,Hispanic,11/1/2019,Union Park,FL,Orange,Gunshot,No known charges,No,Unclear,undetermined,attack,Not fleeing
29,Male,White,11/1/2019,Vero Beach,FL,Indian River,Gunshot,No known charges,Drug or alcohol use,Allegedly Armed,sword,attack,Not fleeing
56,Male,Unknown race,10/31/2019,Pearson,GA,Atkinson,Gunshot,No known charges,No,Allegedly Armed,gun,attack,
34,Male,White,10/31/2019,Bascom,FL,Jackson,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Car
33,Male,White,10/31/2019,San Jose,CA,Santa Clara,Gunshot,No known charges,Yes,Unarmed/Did Not Have an Actual Weapon,toy weapon,attack,Not fleeing
24,Male,Asian,10/30/2019,Fresno,CA,Fresno,Gunshot,No known charges,Unknown,Allegedly Armed,gun,other,Not fleeing
24,Male,Black,10/30/2019,Baltimore,MD,Baltimore,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
26,Male,White,10/30/2019,Ona,WV,Cabell,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
62,Male,White,10/30/2019,Lancaster,CA,Los Angeles,Gunshot,No known charges,No,Allegedly Armed,ax,other,Not fleeing
45,Male,White,10/28/2019,Evansville,IN,Vanderburgh,Gunshot,No known charges,Unknown,Unclear,hammer,attack,Not fleeing
25,Male,Black,10/27/2019,Carmichael,CA,Sacramento,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
39,Male,Black,10/27/2019,Madison,AL,Madison,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
42,Male,Hispanic,10/27/2019,Porterville,CA,Tulare,Gunshot,No known charges,Yes,Allegedly Armed,crowbar,attack,Not fleeing
50,Male,Hispanic,10/27/2019,Tulsa,OK,Tulsa,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
63,Male,White,10/27/2019,Madison,WI,Dane,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
45,Male,Asian,10/26/2019,Athens,GA,Athens-Clarke,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Foot
Unknown,Male,Unknown race,10/26/2019,Brawley,CA,Imperial,Gunshot,No known charges,No,Allegedly Armed,baseball bat,other,Foot
27,Male,White,10/26/2019,Boyne Falls,MI,Charlevoix,Gunshot,No known charges,Yes,Allegedly Armed,gun,attack,Not fleeing
36,Male,Black,10/25/2019,Brooklyn,NY,Brooklyn,Gunshot,No known charges,No,Unclear,chair,attack,Not fleeing
27,Male,Hispanic,10/25/2019,Albuquerque,NM,Bernalillo,Gunshot,No known charges,No,Allegedly Armed,gun,other,Car
31,Male,Unknown race,10/25/2019,Cumming,GA,Forsyth,Gunshot,No known charges,No,Unarmed/Did Not Have an Actual Weapon,toy weapon,attack,Car
Unknown,Male,Unknown race,10/25/2019,Dalton,GA,Whitfield,Gunshot,No known charges,Unknown,Unclear,unknown weapon,other,Not fleeing
45,Female,White,10/25/2019,Bossier City,LA,Bossier,Gunshot,No known charges,No,Allegedly Armed,scissors,other,Not fleeing
40,Male,White,10/25/2019,Grove,OK,Delaware,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
19,Male,White,10/25/2019,Morristown,TN,Hamblen,Gunshot,No known charges,No,Vehicle,vehicle,attack,Not fleeing
53,Male,White,10/24/2019,Greenville,NC,Pitt,Gunshot,No known charges,Drug or alcohol use,Allegedly Armed,gun,other,Not fleeing
48,Male,Black,10/23/2019,Long Beach,CA,Los Angeles,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
29,Male,Hispanic,10/23/2019,New York,NY,Manhattan,Gunshot,No known charges,Unknown,Allegedly Armed,gun,attack,Not fleeing
61,Male,Unknown race,10/23/2019,Spokane,WA,Spokane,Gunshot,No known charges,Yes,Allegedly Armed,gun,attack,Not fleeing
29,Male,White,10/23/2019,Huntington,IN,Huntington,Gunshot,No known charges,Yes,Allegedly Armed,gun,attack,Foot
45,Male,White,10/23/2019,Albany,OR,Linn,Taser,No known charges,No,Unarmed/Did Not Have an Actual Weapon,no object,attack,
34,Male,White,10/23/2019,Sweetwater,TX,Nolan,Gunshot,No known charges,No,Unclear,undetermined,undetermined,Not fleeing
41,Male,White,10/23/2019,El Paso,TX,El Paso,Gunshot,No known charges,No,Vehicle,vehicle,attack,Car
55,Male,Unknown race,10/22/2019,Carson,CA,Los Angeles,Gunshot,No known charges,No,Allegedly Armed,sharp object,other,Not fleeing
36,Male,Black,10/21/2019,Tillmans Corner,AL,Mobile,Taser,No known charges,No,Unarmed/Did Not Have an Actual Weapon,no object,other,
37,Female,Hispanic,10/21/2019,Henderson,NV,Clark,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
36,Male,Unknown race,10/21/2019,Denver,CO,Denver,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Car
21,Male,White,10/21/2019,Dayton,OH,Montgomery,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Car
39,Male,White,10/21/2019,Hillsboro,OR,Washington,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
30,Male,Black,10/20/2019,St. Louis,MO,St. Louis,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Car
33,Female,White,10/20/2019,Boise,ID,Ada,Gunshot,No known charges,Yes,Unarmed/Did Not Have an Actual Weapon,toy weapon,attack,Not fleeing
51,Male,White,10/20/2019,Leesburg,FL,Lake,Gunshot,No known charges,Yes,Allegedly Armed,baseball bat and knife,other,Not fleeing
41,Male,Hispanic,10/19/2019,Victorville,CA,San Bernardino,Beaten,No known charges,Drug or alcohol use,Unarmed/Did Not Have an Actual Weapon,no object,,
61,Male,Unknown race,10/19/2019,Easley,SC,Pickens,Gunshot,No known charges,No,Unclear,undetermined,undetermined,
34,Male,White,10/19/2019,Palestine,TX,Anderson,Gunshot,No known charges,Unknown,Allegedly Armed,gun and vehicle,attack,Other
46,Male,Unknown race,10/18/2019,White Pigeon,MI,St. Joseph,Gunshot,No known charges,No,Vehicle,vehicle,attack,Not fleeing
29,Male,White,10/18/2019,Idaho Falls,ID,Bonneville,Gunshot,No known charges,Yes,Allegedly Armed,gun,attack,Not fleeing
38,Male,White,10/18/2019,Farmingdale,NJ,Monmouth,Gunshot,No known charges,No,Allegedly Armed,knife,attack,Not fleeing
21,Male,Black,10/17/2019,Fayette,MS,Jefferson,Gunshot,No known charges,Unknown,Allegedly Armed,vehicle and gun,attack,
34,Male,Black,10/17/2019,Warren,AR,Bradley,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Car
31,Male,Black,10/17/2019,Bronx,NY,Bronx,Gunshot,No known charges,No,Vehicle,vehicle,attack,Not fleeing
27,Male,White,10/17/2019,Oakridge,OR,Lane,Gunshot,No known charges,No,Allegedly Armed,straight edge razor,other,Not fleeing
21,Male,Black,10/16/2019,Sherman Oaks,CA,Los Angeles,Gunshot,No known charges,No,Allegedly Armed,gun,other,Not fleeing
28,Male,White,10/16/2019,Roanoke,VA,Roanoke,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Other
26,Male,Black,10/15/2019,Stone Mountain,GA,DeKalb,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
30,Male,Black,10/15/2019,Brooklyn,NY,Kings,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
28,Male,White,10/15/2019,Wendell,ID,Gooding,Gunshot,No known charges,No,Allegedly Armed,gun,other,Car
28,Male,White,10/15/2019,Jamestown,NC,Guilford,Gunshot,No known charges,Yes,Allegedly Armed,gun,attack,Not fleeing
30,Male,White,10/15/2019,Goleta,CA,Santa Barbara,Gunshot,No known charges,No,Unclear,undetermined,other,
61,Male,Black,10/14/2019,High Point,NC,Guilford,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
31,Male,Black,10/14/2019,Ethel,LA,East Feliciana,Gunshot,No known charges,Yes,Unarmed/Did Not Have an Actual Weapon,no object,undetermined,Foot
29,Male,Hispanic,10/14/2019,Albuquerque,NM,Bernalillo,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
54,Female,White,10/14/2019,Athens,GA,Athens-Clarke,Gunshot,No known charges,No,Allegedly Armed,knife,attack,Not fleeing
19,Male,Hispanic,10/13/2019,Glendale,AZ,Maricopa,Gunshot,No known charges,Unknown,Allegedly Armed,gun,attack,Not fleeing
22,Male,Hispanic,10/13/2019,Corpus Christi,TX,Nueces,Gunshot,No known charges,No,Allegedly Armed,baseball bat,other,Not fleeing
26,Male,Hispanic,10/13/2019,Buckeye,AZ,Maricopa,Gunshot,No known charges,No,Allegedly Armed,gun,attack,
28,Female,Black,10/12/2019,Fort Worth,TX,Tarrant,Gunshot,Charged with a crime,No,Unarmed/Did Not Have an Actual Weapon,no object,other,Not fleeing
21,Male,Black,10/12/2019,El Monte,CA,Los Angeles,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Foot
32,Male,Unknown race,10/12/2019,Myrtle Beach,SC,Horry,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
57,Male,Hispanic,10/11/2019,North Port,FL,Sarasota,Gunshot,No known charges,No,Allegedly Armed,machete,attack,Not fleeing
40,Male,Unknown race,10/11/2019,Pine Bluff,AR,Jefferson,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Foot
56,Male,Unknown race,10/11/2019,Tucson,AZ,Pima,Gunshot,No known charges,Yes,Allegedly Armed,gun,attack,Not fleeing
19,Male,White,10/11/2019,Kiowa,OK,Pittsburg,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Other
24,Male,Black,10/10/2019,Oklahoma City,OK,Oklahoma,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
58,Male,White,10/10/2019,Farmington,NM,San Juan,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
48,Male,White,10/10/2019,Lancaster,CA,Los Angeles,Gunshot,No known charges,No,Unclear,undetermined,undetermined,Car
31,Male,Black,10/9/2019,Oklahoma City,OK,Oklahoma,Gunshot,No known charges,Drug or alcohol use,Allegedly Armed,gun,attack,
32,Male,White,10/9/2019,Deer Island,OR,Columbia,Vehicle,No known charges,No,Vehicle,vehicle,,
37,Male,Black,10/8/2019,Beaumont,TX,Jefferson,Gunshot,No known charges,No,Allegedly Armed,baton,attack,Not fleeing
33,Male,White,10/8/2019,Rutland,VT,Rutland,Gunshot,No known charges,Unknown,Allegedly Armed,gun,attack,Car
28,Male,White,10/8/2019,Layton,UT,Davis,Gunshot,No known charges,No,Vehicle,vehicle,attack,Car
48,Male,White,10/8/2019,Lincoln,NE,Lancaster,Gunshot,No known charges,No,Vehicle,vehicle,attack,Not fleeing
54,Male,Native American,10/7/2019,Tahlequah,OK,Cherokee,Gunshot,No known charges,No,Allegedly Armed,gun,attack,
31,Male,White,10/7/2019,Kountze,TX,Hardin,Gunshot,No known charges,No,Allegedly Armed,knife,other,Not fleeing
55,Male,Black,10/6/2019,Herald,CA,Sacramento,Gunshot,No known charges,Drug or alcohol use,Unarmed/Did Not Have an Actual Weapon,Airsoft pistol,other,Not fleeing
37,Male,Hispanic,10/6/2019,Whittier,CA,Los Angeles,Gunshot,No known charges,Yes,Allegedly Armed,knife,other,Not fleeing
42,Male,Unknown race,10/6/2019,Maryland Heights,MO,St. Louis,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
25,Male,White,10/5/2019,Newman Lake,WA,Spokane,Taser,No known charges,Drug or alcohol use,Unarmed/Did Not Have an Actual Weapon,no object,attack,
33,Male,White,10/5/2019,Carrollton,TX,Denton,Gunshot,No known charges,Unknown,Unarmed/Did Not Have an Actual Weapon,air pistol,attack,Not fleeing
37,Male,White,10/4/2019,Jacksonville,FL,Duval,Gunshot,No known charges,Yes,Unclear,wasp spray,attack,Not fleeing
61,Male,Unknown race,10/3/2019,Grovetown,GA,Columbia,Gunshot,No known charges,Yes,Allegedly Armed,gun,attack,Not fleeing
50,Male,White,10/1/2019,Drennen,WV,Nicholas,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
75,Male,White,10/1/2019,Elkton,KY,Todd,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
32,Male,White,10/1/2019,Palos Hills,IL,Cook,Gunshot,No known charges,No,Unarmed/Did Not Have an Actual Weapon,BB gun and vehicle,attack,Foot
35,Male,Hispanic,9/30/2019,Gainesville,GA,Hall,Gunshot,No known charges,Drug or alcohol use,Allegedly Armed,knife,attack,
38,Female,White,9/30/2019,Mountain View,MO,Howell,Gunshot,Charged with a crime,No,Vehicle,vehicle,attack,Car
27,Male,Black,9/29/2019,Bronx,NY,Bronx,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
31,Male,Black,9/29/2019,Cockeysville,MD,Baltimore,Gunshot,No known charges,Unknown,Allegedly Armed,knife,attack,Foot
37,Male,Unknown race,9/29/2019,Boston,MA,Suffolk,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Foot
38,Male,Unknown race,9/29/2019,Miami,FL,Miami-Dade,Gunshot,No known charges,No,Allegedly Armed,gun,attack,
33,Male,White,9/29/2019,Bronx,NY,Bronx,Gunshot,No known charges,No,Allegedly Armed,gun,other,
36,Male,White,9/29/2019,Yucca Valley,CA,San Bernardino,Gunshot,No known charges,No,Allegedly Armed,gun and car,attack,Car
20,Male,White,9/29/2019,Monument,CO,El Paso,Gunshot,No known charges,Yes,Unarmed/Did Not Have an Actual Weapon,toy weapon,attack,Not fleeing
37,Male,White,9/29/2019,Longview,TX,Gregg,Gunshot,No known charges,No,Unarmed/Did Not Have an Actual Weapon,no object,attack,Foot
28,Male,White,9/27/2019,Leesville,SC,Lexington,Gunshot,No known charges,Drug or alcohol use,Allegedly Armed,gun,attack,Other
25,Male,Black,9/26/2019,Dallas,TX,Dallas,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
49,Male,Black,9/26/2019,Hyattsville,MD,Prince George's,Gunshot,No known charges,No,Allegedly Armed,knife,attack,Not fleeing
Unknown,Male,Unknown race,9/26/2019,La Habra,CA,Orange,Gunshot,No known charges,No,Vehicle,vehicle,attack,Car
32,Male,White,9/25/2019,Lacombe,LA,St. Tammany,Gunshot,No known charges,Yes,Allegedly Armed,gun,attack,Not fleeing
64,Male,White,9/25/2019,Hartsville,SC,Darlington,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
67,Male,White,9/25/2019,Richlands,NC,Onslow,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Car
23,Male,Black,9/24/2019,Aurora,CO,Adams,Physical Restraint,No known charges,No,Unarmed/Did Not Have an Actual Weapon,no object,other,
41,Male,Unknown race,9/24/2019,Huntington,WV,Cabell,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
63,Male,Unknown race,9/24/2019,Sanford,NC,Lee,Gunshot,No known charges,No,Allegedly Armed,knife,other,
63,Male,Hispanic,9/23/2019,Wilmington,CA,Los Angeles,Gunshot,No known charges,No,Allegedly Armed,gun,other,
31,Male,Unknown race,9/23/2019,Lowell,AR,Benton,Gunshot,No known charges,No,Unclear,unknown weapon,other,Not fleeing
28,Male,White,9/22/2019,Rome,GA,Floyd,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Foot
74,Male,White,9/22/2019,Austin,TX,Travis,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
50,Male,Native American,9/21/2019,Riverton,WY,Fremont,Gunshot,No known charges,No,Allegedly Armed,knife,attack,
29,Male,White,9/21/2019,Ada,OK,Pontotoc,Gunshot,No known charges,No,Unclear,undetermined,attack,Not fleeing
24,Male,Hispanic,9/20/2019,Hampton,GA,Henry,Taser,No known charges,No,Unarmed/Did Not Have an Actual Weapon,no object,undetermined,
57,Male,Unknown race,9/20/2019,Lakewood,CO,Jefferson,Gunshot,No known charges,No,Allegedly Armed,gun,attack,
21,Male,White,9/20/2019,Gainesville,GA,Hall,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
38,Female,Black,9/19/2019,Shannon,MS,Lee,Gunshot,No known charges,No,Allegedly Armed,gun,,
32,Male,Black,9/19/2019,Shannon,MS,Lee,Gunshot,No known charges,No,Allegedly Armed,gun,attack,
18,Male,Black,9/19/2019,Long Beach,CA,Los Angeles,Gunshot,No known charges,No,Unarmed/Did Not Have an Actual Weapon,toy weapon,attack,Not fleeing
74,Male,Unknown race,9/19/2019,Soddy-Daisy,TN,Hamilton,Gunshot,No known charges,Yes,Unclear,unknown weapon,other,Not fleeing
33,Male,Black,9/18/2019,Memphis,TN,Shelby,Gunshot,No known charges,No,Allegedly Armed,gun,,
49,Male,Black,9/18/2019,Pittsburgh,PA,Allegheny,Gunshot,No known charges,No,Allegedly Armed,knife,attack,
43,Male,White,9/18/2019,Salem,OR,Polk,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
44,Male,White,9/18/2019,Tallahassee,FL,Leon,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
34,Male,White,9/18/2019,Lexington,SC,Lexington,Taser,No known charges,Unknown,Unarmed/Did Not Have an Actual Weapon,no object,other,
39,Male,Black,9/17/2019,Staten Island,NY,Richmond,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Foot
34,Male,Hispanic,9/17/2019,Milton,FL,Santa Rosa,Gunshot,No known charges,No,Vehicle,vehicle,attack,Car
57,Female,White,9/17/2019,Richmond,VA,Henrico,Gunshot,No known charges,Yes,Allegedly Armed,hatchet,attack,Not fleeing
36,Male,White,9/17/2019,Oceanside,NY,Nassau,Gunshot,No known charges,Yes,Allegedly Armed,knife,attack,
27,Male,Black,9/16/2019,Houston,TX,Harris,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Foot
53,Male,Black,9/16/2019,Washington,DC,District of Columbia,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
41,Male,Unknown race,9/16/2019,Staunton,IL,Madison,Taser,No known charges,Unknown,Unarmed/Did Not Have an Actual Weapon,no object,undetermined,
33,Male,White,9/16/2019,Elizabethton,TN,Carter,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Foot
37,Male,White,9/16/2019,Sanger,TX,Denton,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Foot
50,Male,White,9/16/2019,Jonesboro,GA,Clayton,Gunshot,No known charges,No,Allegedly Armed,gun,attack,
31,Male,Black,9/15/2019,St. Paul,MN,Ramsey,Gunshot,No known charges,No,Allegedly Armed,knife,attack,Not fleeing
41,Male,Hispanic,9/15/2019,Katy,TX,Harris,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Foot
28,Male,White,9/15/2019,Oklahoma City,OK,Oklahoma,Gunshot,No known charges,Yes,Allegedly Armed,knife,attack,Not fleeing
31,Male,Black,9/14/2019,Arlington,TX,Tarrant,Gunshot,No known charges,Yes,Unarmed/Did Not Have an Actual Weapon,toy weapon,attack,Not fleeing
54,Male,Black,9/14/2019,Baton Rouge,LA,East Baton Rouge,Gunshot,No known charges,No,Unarmed/Did Not Have an Actual Weapon,no object,undetermined,Not fleeing
33,Male,Hispanic,9/14/2019,Plainview,TX,Hale,Gunshot,No known charges,Yes,Allegedly Armed,gun,attack,
76,Male,Unknown race,9/14/2019,Ooltewah,TN,Hamilton,Gunshot,No known charges,Yes,Unclear,undetermined,attack,
25,Male,Unknown race,9/13/2019,Brackettville,TX,Kinney,Gunshot,No known charges,No,Allegedly Armed,gun,attack,
77,Male,White,9/13/2019,Loyal,WI,Clark,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
17,Male,Black,9/12/2019,Houston,TX,Harris,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Foot
43,Male,Black,9/12/2019,Nacogdoches,TX,Nacogdoches,Vehicle,No known charges,No,Vehicle,vehicle,,
35,Male,Hispanic,9/12/2019,Santa Clarita,CA,Los Angeles,Gunshot,No known charges,Unknown,Unclear,piece of wood,attack,Not fleeing
29,Male,White,9/12/2019,Independence,MO,Jackson,Gunshot,No known charges,No,Unclear,undetermined,attack,
18,Male,Black,9/11/2019,Columbus,OH,Franklin,Gunshot,No known charges,No,Allegedly Armed,gun,undetermined,
20,Male,White,9/11/2019,Burlington,IA,Des Moines,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Foot
26,Male,Black,9/10/2019,Wellington,UT,Carbon,Gunshot,No known charges,Yes,Allegedly Armed,knife,undetermined,Not fleeing
33,Male,Black,9/9/2019,Oklahoma City,OK,Oklahoma,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Other
47,Male,Hispanic,9/9/2019,Phoenix,AZ,Maricopa,Gunshot,No known charges,No,Allegedly Armed,gun and knife,attack,Not fleeing
41,Male,White,9/9/2019,Aberdeen,WA,Grays Harbor,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Foot
24,Male,Black,9/8/2019,Tacoma,WA,Pierce,Gunshot,No known charges,No,Unarmed/Did Not Have an Actual Weapon,toy weapon,undetermined,Foot
51,Male,Unknown race,9/8/2019,Longview,WA,Cowlitz,Gunshot,No known charges,Yes,Allegedly Armed,gun,attack,Not fleeing
30,Male,Hispanic,9/7/2019,Richfield,MN,Hennepin,Gunshot,No known charges,Unknown,Allegedly Armed,knife,other,Car
40,Male,White,9/7/2019,Etoile,TX,Nacogdoches,Gunshot,No known charges,No,Allegedly Armed,knife,other,Not fleeing
42,Male,Black,9/6/2019,Glendora,CA,Los Angeles,Gunshot,No known charges,No,Allegedly Armed,gun,other,Foot
28,Male,Black,9/5/2019,St. Louis,MO,St. Louis City,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
50,Male,Black,9/5/2019,Las Vegas,NV,Clark,Physical Restraint,No known charges,No,Unarmed/Did Not Have an Actual Weapon,no object,other,
65,Male,Unknown race,9/5/2019,Lagrange,GA,Troup,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
43,Male,White,9/5/2019,East Hartford,CT,Hartford,Gunshot,No known charges,No,Unclear,undetermined,attack,Not fleeing
53,Male,Unknown race,9/4/2019,Rigby,ID,Jefferson,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
62,Male,Unknown race,9/4/2019,Victorville,CA,San Bernardino,Gunshot,No known charges,Yes,Allegedly Armed,knife,other,Not fleeing
29,Male,White,9/4/2019,Coeur d'Alene,ID,Kootenai,Gunshot,No known charges,Unknown,Allegedly Armed,knife,attack,Not fleeing
34,Male,Hispanic,9/3/2019,Kaukauna,WI,Outagamie,Gunshot,No known charges,Unknown,Vehicle,vehicle,other,Car
30,Male,White,9/3/2019,Bluff City,TN,Sullivan,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Car
46,Male,White,9/3/2019,Convoy,OH,Van Wert,Gunshot,No known charges,No,Unclear,undetermined,,
29,Male,Unknown race,9/2/2019,Brooklyn,NY,Kings,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Foot
43,Male,Unknown race,9/2/2019,Silver Springs,NV,Lyon,Gunshot,No known charges,No,Unclear,undetermined,attack,
35,Male,White,9/2/2019,Missoula,MT,Missoula,Gunshot,No known charges,No,Unclear,undetermined,undetermined,
17,Male,White,9/1/2019,Kerrville,TX,Kerr,Gunshot,No known charges,No,Allegedly Armed,knife,other,Not fleeing
49,Male,White,9/1/2019,Caldwell,ID,Canyon,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
49,Male,White,9/1/2019,Sapulpa,OK,Creek,Gunshot,No known charges,No,Vehicle,vehicle,attack,Car
21,Male,Black,8/31/2019,Brooklyn Center,MN,Hennepin,Gunshot,No known charges,No,Allegedly Armed,hammer,other,Not fleeing
23,Male,Black,8/31/2019,Clayton,MO,St. Louis,Gunshot,No known charges,No,Allegedly Armed,gun,other,Foot
37,Male,Hispanic,8/31/2019,Denver,CO,Denver,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
Unknown,Male,Unknown race,8/31/2019,Raleigh,NC,Wake,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Foot
47,Male,Unknown race,8/31/2019,Florence,MS,Rankin,Gunshot,No known charges,No,Vehicle,vehicle,other,Car
36,Male,White,8/31/2019,Odessa,TX,Ector,Gunshot,No known charges,Yes,Allegedly Armed,gun,attack,Car
32,Male,Hispanic,8/30/2019,Red Bluff,CA,Tehama,Gunshot,No known charges,No,Allegedly Armed,gun,attack,
51,Male,Hispanic,8/30/2019,Tolleson,AZ,Maricopa,Gunshot,No known charges,No,Allegedly Armed,gun and car,attack,Other
39,Male,Hispanic,8/30/2019,Bakersfield,CA,Kern,Gunshot,No known charges,No,Unclear,undetermined,,
27,Male,Unknown race,8/30/2019,Jamaica,NY,Queens,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
35,Male,Unknown race,8/30/2019,Wilmington,DE,New Castle,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
16,Male,Unknown race,8/29/2019,Carlsbad,NM,Eddy,Gunshot,No known charges,No,Allegedly Armed,gun,attack,
30,Male,Black,8/28/2019,Baltimore,MD,Baltimore City,Gunshot,No known charges,Yes,Allegedly Armed,gun and car,attack,Car
62,Male,Black,8/28/2019,Gordo,AL,Pickens,Gunshot,No known charges,Yes,Allegedly Armed,knife,other,
28,Male,White,8/28/2019,Salina,KS,Saline,Gunshot,No known charges,No,Allegedly Armed,knife,other,Not fleeing
37,Male,Black,8/27/2019,West Helena,AR,Phillips,Gunshot,No known charges,No,Allegedly Armed,gun,attack,
